Accession,Phages/Bacteria,Dataset type
NZ_CP024389,Bacteria,Pre-training
NZ_CP024489,Bacteria,Pre-training
NZ_CP024490,Bacteria,Pre-training
NZ_CP024491,Bacteria,Pre-training
NZ_CP024492,Bacteria,Pre-training
NZ_CP024493,Bacteria,Pre-training
NZ_CP024494,Bacteria,Pre-training
NZ_CP024495,Bacteria,Pre-training
NZ_CP024548,Bacteria,Pre-training
NZ_CP024593,Bacteria,Pre-training
NZ_CP024596,Bacteria,Pre-training
NZ_CP024704,Bacteria,Pre-training
NZ_CP024723,Bacteria,Pre-training
NZ_CP024724,Bacteria,Pre-training
NZ_CP024894,Bacteria,Pre-training
NZ_CP024895,Bacteria,Pre-training
NZ_CP024896,Bacteria,Pre-training
NZ_CP024908,Bacteria,Pre-training
NZ_CP024909,Bacteria,Pre-training
NZ_CP024910,Bacteria,Pre-training
NZ_CP024920,Bacteria,Pre-training
NZ_CP024933,Bacteria,Pre-training
NZ_CP024947,Bacteria,Pre-training
NZ_CP024953,Bacteria,Pre-training
NZ_CP024959,Bacteria,Pre-training
NZ_CP024968,Bacteria,Pre-training
NZ_CP025000,Bacteria,Pre-training
NZ_CP025033,Bacteria,Pre-training
NZ_CP025049,Bacteria,Pre-training
NZ_CP025057,Bacteria,Pre-training
NZ_CP025074,Bacteria,Pre-training
NZ_CP025075,Bacteria,Pre-training
NZ_CP025146,Bacteria,Pre-training
NZ_CP025147,Bacteria,Pre-training
NZ_CP025148,Bacteria,Pre-training
NZ_CP025202,Bacteria,Pre-training
NZ_CP025228,Bacteria,Pre-training
NZ_CP025264,Bacteria,Pre-training
NZ_CP025265,Bacteria,Pre-training
NZ_CP025280,Bacteria,Pre-training
NZ_CP025328,Bacteria,Pre-training
NZ_CP025329,Bacteria,Pre-training
NZ_CP025330,Bacteria,Pre-training
NZ_CP025341,Bacteria,Pre-training
NZ_CP025350,Bacteria,Pre-training
NZ_CP025360,Bacteria,Pre-training
NZ_CP025370,Bacteria,Pre-training
NZ_CP025408,Bacteria,Pre-training
NZ_CP025409,Bacteria,Pre-training
NZ_CP025410,Bacteria,Pre-training
NZ_CP025411,Bacteria,Pre-training
NZ_CP025445,Bacteria,Pre-training
NZ_CP025448,Bacteria,Pre-training
NZ_CP025450,Bacteria,Pre-training
NZ_CP025456,Bacteria,Pre-training
NZ_CP025457,Bacteria,Pre-training
NZ_CP025458,Bacteria,Pre-training
NZ_CP025459,Bacteria,Pre-training
NZ_CP025460,Bacteria,Pre-training
NZ_CP025528,Bacteria,Pre-training
NZ_CP025542,Bacteria,Pre-training
NZ_CP025570,Bacteria,Pre-training
NZ_CP025746,Bacteria,Pre-training
NZ_CP025751,Bacteria,Pre-training
NZ_CP025752,Bacteria,Pre-training
NZ_CP025753,Bacteria,Pre-training
NZ_CP025819,Bacteria,Pre-training
NZ_CP025820,Bacteria,Pre-training
NZ_CP025823,Bacteria,Pre-training
NZ_CP025836,Bacteria,Pre-training
NZ_CP025841,Bacteria,Pre-training
NZ_CP025862,Bacteria,Pre-training
NZ_CP025863,Bacteria,Pre-training
NZ_CP025864,Bacteria,Pre-training
NZ_CP025869,Bacteria,Pre-training
NZ_CP025870,Bacteria,Pre-training
NZ_CP025871,Bacteria,Pre-training
NZ_CP025872,Bacteria,Pre-training
NZ_CP026013,Bacteria,Pre-training
NZ_CP026014,Bacteria,Pre-training
NZ_CP026015,Bacteria,Pre-training
NZ_CP026016,Bacteria,Pre-training
NZ_CP026050,Bacteria,Pre-training
NZ_CP026062,Bacteria,Pre-training
NZ_CP026064,Bacteria,Pre-training
NZ_CP026065,Bacteria,Pre-training
NZ_CP026074,Bacteria,Pre-training
NZ_CP026075,Bacteria,Pre-training
NZ_CP026086,Bacteria,Pre-training
NZ_CP026087,Bacteria,Pre-training
NZ_CP026088,Bacteria,Pre-training
NZ_CP026101,Bacteria,Pre-training
NZ_CP026102,Bacteria,Pre-training
NZ_CP026103,Bacteria,Pre-training
NZ_CP026104,Bacteria,Pre-training
NZ_CP026120,Bacteria,Pre-training
NZ_CP026125,Bacteria,Pre-training
NZ_CP026126,Bacteria,Pre-training
NZ_CP026127,Bacteria,Pre-training
NZ_CP026128,Bacteria,Pre-training
NZ_CP026129,Bacteria,Pre-training
NZ_CP026265,Bacteria,Pre-training
NZ_CP026266,Bacteria,Pre-training
NZ_CP026267,Bacteria,Pre-training
NZ_CP026268,Bacteria,Pre-training
NZ_CP026364,Bacteria,Pre-training
NZ_CP026379,Bacteria,Pre-training
NZ_CP026380,Bacteria,Pre-training
NZ_CP026383,Bacteria,Pre-training
NZ_CP026384,Bacteria,Pre-training
NZ_CP026385,Bacteria,Pre-training
NZ_CP026430,Bacteria,Pre-training
NZ_CP026445,Bacteria,Pre-training
NZ_CP026450,Bacteria,Pre-training
NZ_CP026530,Bacteria,Pre-training
NZ_CP026557,Bacteria,Pre-training
NZ_CP026558,Bacteria,Pre-training
NZ_CP026559,Bacteria,Pre-training
NZ_CP026560,Bacteria,Pre-training
NZ_CP026561,Bacteria,Pre-training
NZ_CP026604,Bacteria,Pre-training
NZ_CP026605,Bacteria,Pre-training
NZ_CP026619,Bacteria,Pre-training
NZ_CP026676,Bacteria,Pre-training
NZ_CP026697,Bacteria,Pre-training
NZ_CP026698,Bacteria,Pre-training
NZ_CP026699,Bacteria,Pre-training
NZ_CP026751,Bacteria,Pre-training
NZ_CP026752,Bacteria,Pre-training
NZ_CP026753,Bacteria,Pre-training
NZ_CP026880,Bacteria,Pre-training
NZ_CP026882,Bacteria,Pre-training
NZ_CP026892,Bacteria,Pre-training
NZ_CP026896,Bacteria,Pre-training
NZ_CP026923,Bacteria,Pre-training
NZ_CP026957,Bacteria,Pre-training
NZ_CP026983,Bacteria,Pre-training
NZ_CP026985,Bacteria,Pre-training
NZ_CP026992,Bacteria,Pre-training
NZ_CP027036,Bacteria,Pre-training
NZ_CP027037,Bacteria,Pre-training
NZ_CP027038,Bacteria,Pre-training
NZ_CP027039,Bacteria,Pre-training
NZ_CP027040,Bacteria,Pre-training
NZ_CP027041,Bacteria,Pre-training
NZ_CP027042,Bacteria,Pre-training
NZ_CP027043,Bacteria,Pre-training
NZ_CP027044,Bacteria,Pre-training
NZ_CP027045,Bacteria,Pre-training
NZ_CP027046,Bacteria,Pre-training
NZ_CP027047,Bacteria,Pre-training
NZ_CP027053,Bacteria,Pre-training
NZ_CP027054,Bacteria,Pre-training
NZ_CP027055,Bacteria,Pre-training
NZ_CP027056,Bacteria,Pre-training
NZ_CP027057,Bacteria,Pre-training
NZ_CP027058,Bacteria,Pre-training
NZ_CP027061,Bacteria,Pre-training
NZ_CP027135,Bacteria,Pre-training
NZ_CP027136,Bacteria,Pre-training
NZ_CP027137,Bacteria,Pre-training
NZ_CP027138,Bacteria,Pre-training
NZ_CP027139,Bacteria,Pre-training
NZ_CP027140,Bacteria,Pre-training
NZ_CP027146,Bacteria,Pre-training
NZ_CP027147,Bacteria,Pre-training
NZ_CP027148,Bacteria,Pre-training
NZ_CP027149,Bacteria,Pre-training
NZ_CP027150,Bacteria,Pre-training
NZ_CP027151,Bacteria,Pre-training
NZ_CP027152,Bacteria,Pre-training
NZ_CP027153,Bacteria,Pre-training
NZ_CP027154,Bacteria,Pre-training
NZ_CP027155,Bacteria,Pre-training
NZ_CP027156,Bacteria,Pre-training
NZ_CP027199,Bacteria,Pre-training
NZ_CP027200,Bacteria,Pre-training
NZ_CP027201,Bacteria,Pre-training
NZ_CP027202,Bacteria,Pre-training
NZ_CP027203,Bacteria,Pre-training
NZ_CP027204,Bacteria,Pre-training
NZ_CP027205,Bacteria,Pre-training
NZ_CP027236,Bacteria,Pre-training
NZ_CP027237,Bacteria,Pre-training
NZ_CP027256,Bacteria,Pre-training
NZ_CP027257,Bacteria,Pre-training
NZ_CP027258,Bacteria,Pre-training
NZ_CP027259,Bacteria,Pre-training
NZ_CP027325,Bacteria,Pre-training
NZ_CP027326,Bacteria,Pre-training
NZ_CP027327,Bacteria,Pre-training
NZ_CP027350,Bacteria,Pre-training
NZ_CP027351,Bacteria,Pre-training
NZ_CP027380,Bacteria,Pre-training
NZ_CP027381,Bacteria,Pre-training
NZ_CP027382,Bacteria,Pre-training
NZ_CP027383,Bacteria,Pre-training
NZ_CP027384,Bacteria,Pre-training
NZ_CP027385,Bacteria,Pre-training
NZ_CP027405,Bacteria,Pre-training
NZ_CP027432,Bacteria,Pre-training
NZ_CP027440,Bacteria,Pre-training
NZ_CP027441,Bacteria,Pre-training
NZ_CP027530,Bacteria,Pre-training
NZ_CP027531,Bacteria,Pre-training
NZ_CP027532,Bacteria,Pre-training
NZ_CP027589,Bacteria,Pre-training
NZ_CP027590,Bacteria,Pre-training
NZ_CP027591,Bacteria,Pre-training
NZ_CP027592,Bacteria,Pre-training
NZ_CP027599,Bacteria,Pre-training
NZ_CP027600,Bacteria,Pre-training
NZ_CP027601,Bacteria,Pre-training
NZ_CP027607,Bacteria,Pre-training
NZ_CP027608,Bacteria,Pre-training
NZ_CP027609,Bacteria,Pre-training
NZ_CP027642,Bacteria,Pre-training
NZ_CP027669,Bacteria,Pre-training
NZ_CP027670,Bacteria,Pre-training
NZ_CP027671,Bacteria,Pre-training
NZ_CP027706,Bacteria,Pre-training
NZ_CP027709,Bacteria,Pre-training
NZ_CP027714,Bacteria,Pre-training
NZ_CP027740,Bacteria,Pre-training
NZ_CP027743,Bacteria,Pre-training
NZ_CP027750,Bacteria,Pre-training
NZ_CP027756,Bacteria,Pre-training
NZ_CP027845,Bacteria,Pre-training
NZ_CP027929,Bacteria,Pre-training
NZ_CP027930,Bacteria,Pre-training
NZ_CP028105,Bacteria,Pre-training
NZ_CP028108,Bacteria,Pre-training
NZ_CP028189,Bacteria,Pre-training
NZ_CP028196,Bacteria,Pre-training
NZ_CP028197,Bacteria,Pre-training
NZ_CP028198,Bacteria,Pre-training
NZ_CP028204,Bacteria,Pre-training
NZ_CP028206,Bacteria,Pre-training
NZ_CP028208,Bacteria,Pre-training
NZ_CP028209,Bacteria,Pre-training
NZ_CP028220,Bacteria,Pre-training
NZ_CP028222,Bacteria,Pre-training
NZ_CP028223,Bacteria,Pre-training
NZ_CP028224,Bacteria,Pre-training
NZ_CP028225,Bacteria,Pre-training
NZ_CP028251,Bacteria,Pre-training
NZ_CP028252,Bacteria,Pre-training
NZ_CP028253,Bacteria,Pre-training
NZ_CP028255,Bacteria,Pre-training
NZ_CP028256,Bacteria,Pre-training
NZ_CP028257,Bacteria,Pre-training
NZ_CP028258,Bacteria,Pre-training
NZ_CP028259,Bacteria,Pre-training
NZ_CP028260,Bacteria,Pre-training
NZ_CP028283,Bacteria,Pre-training
NZ_CP028284,Bacteria,Pre-training
NZ_CP028285,Bacteria,Pre-training
NZ_CP028286,Bacteria,Pre-training
NZ_CP028347,Bacteria,Pre-training
NZ_CP028348,Bacteria,Pre-training
NZ_CP028355,Bacteria,Pre-training
NZ_CP028375,Bacteria,Pre-training
NZ_CP028379,Bacteria,Pre-training
NZ_CP028380,Bacteria,Pre-training
NZ_CP028389,Bacteria,Pre-training
NZ_CP028390,Bacteria,Pre-training
NZ_CP028391,Bacteria,Pre-training
NZ_CP028638,Bacteria,Pre-training
NZ_CP028639,Bacteria,Pre-training
NZ_CP028640,Bacteria,Pre-training
NZ_CP028660,Bacteria,Pre-training
NZ_CP028661,Bacteria,Pre-training
NZ_CP028677,Bacteria,Pre-training
NZ_CP028678,Bacteria,Pre-training
NZ_CP028679,Bacteria,Pre-training
NZ_CP028716,Bacteria,Pre-training
NZ_CP028717,Bacteria,Pre-training
NZ_CP028718,Bacteria,Pre-training
NZ_CP028842,Bacteria,Pre-training
NZ_CP028911,Bacteria,Pre-training
NZ_CP029010,Bacteria,Pre-training
NZ_CP029014,Bacteria,Pre-training
NZ_CP029022,Bacteria,Pre-training
NZ_CP029032,Bacteria,Pre-training
NZ_CP029043,Bacteria,Pre-training
NZ_CP029058,Bacteria,Pre-training
NZ_CP029059,Bacteria,Pre-training
NZ_CP029060,Bacteria,Pre-training
NZ_CP029061,Bacteria,Pre-training
NZ_CP029071,Bacteria,Pre-training
NZ_CP029074,Bacteria,Pre-training
NZ_CP029140,Bacteria,Pre-training
NZ_CP029141,Bacteria,Pre-training
NZ_CP029142,Bacteria,Pre-training
NZ_CP029143,Bacteria,Pre-training
NZ_CP029144,Bacteria,Pre-training
NZ_CP029146,Bacteria,Pre-training
NZ_CP029153,Bacteria,Pre-training
NZ_CP029168,Bacteria,Pre-training
NZ_CP029169,Bacteria,Pre-training
NZ_CP029170,Bacteria,Pre-training
NZ_CP029171,Bacteria,Pre-training
NZ_CP029172,Bacteria,Pre-training
NZ_CP029175,Bacteria,Pre-training
NZ_CP029190,Bacteria,Pre-training
NZ_CP029192,Bacteria,Pre-training
NZ_CP029197,Bacteria,Pre-training
NZ_CP029203,Bacteria,Pre-training
NZ_CP029204,Bacteria,Pre-training
NZ_CP029205,Bacteria,Pre-training
NZ_CP029352,Bacteria,Pre-training
NZ_CP029353,Bacteria,Pre-training
NZ_CP029354,Bacteria,Pre-training
NZ_CP029355,Bacteria,Pre-training
NZ_CP029356,Bacteria,Pre-training
NZ_CP029357,Bacteria,Pre-training
NZ_CP029358,Bacteria,Pre-training
NZ_CP029359,Bacteria,Pre-training
NZ_CP029360,Bacteria,Pre-training
NZ_CP029420,Bacteria,Pre-training
NZ_CP029421,Bacteria,Pre-training
NZ_CP029422,Bacteria,Pre-training
NZ_CP029428,Bacteria,Pre-training
NZ_CP029429,Bacteria,Pre-training
NZ_CP029430,Bacteria,Pre-training
NZ_CP029431,Bacteria,Pre-training
NZ_CP029432,Bacteria,Pre-training
NZ_CP029463,Bacteria,Pre-training
NZ_CP029474,Bacteria,Pre-training
NZ_CP029475,Bacteria,Pre-training
NZ_CP029491,Bacteria,Pre-training
NZ_CP029553,Bacteria,Pre-training
NZ_CP029604,Bacteria,Pre-training
NZ_CP029629,Bacteria,Pre-training
NZ_CP029653,Bacteria,Pre-training
NZ_CP029690,Bacteria,Pre-training
NZ_CP029691,Bacteria,Pre-training
NZ_CP029692,Bacteria,Pre-training
NZ_CP029694,Bacteria,Pre-training
NZ_CP029696,Bacteria,Pre-training
NZ_CP029706,Bacteria,Pre-training
NZ_CP029710,Bacteria,Pre-training
NZ_CP029753,Bacteria,Pre-training
NZ_CP029756,Bacteria,Pre-training
NZ_CP029757,Bacteria,Pre-training
NZ_CP029758,Bacteria,Pre-training
NZ_CP029796,Bacteria,Pre-training
NZ_CP029816,Bacteria,Pre-training
NZ_CP029817,Bacteria,Pre-training
NZ_CP029862,Bacteria,Pre-training
NZ_CP029877,Bacteria,Pre-training
NZ_CP029878,Bacteria,Pre-training
NZ_CP029888,Bacteria,Pre-training
NZ_CP029889,Bacteria,Pre-training
NZ_CP029901,Bacteria,Pre-training
NZ_CP029906,Bacteria,Pre-training
NZ_CP029907,Bacteria,Pre-training
NZ_CP029922,Bacteria,Pre-training
NZ_CP029925,Bacteria,Pre-training
NZ_CP029926,Bacteria,Pre-training
NZ_CP029932,Bacteria,Pre-training
NZ_CP029979,Bacteria,Pre-training
NZ_CP029980,Bacteria,Pre-training
NZ_CP029981,Bacteria,Pre-training
NZ_CP029982,Bacteria,Pre-training
NZ_CP030039,Bacteria,Pre-training
NZ_CP030057,Bacteria,Pre-training
NZ_CP030058,Bacteria,Pre-training
NZ_CP030137,Bacteria,Pre-training
NZ_CP030141,Bacteria,Pre-training
NZ_CP030174,Bacteria,Pre-training
NZ_CP030194,Bacteria,Pre-training
NZ_CP030195,Bacteria,Pre-training
NZ_CP030209,Bacteria,Pre-training
NZ_CP030210,Bacteria,Pre-training
NZ_CP030266,Bacteria,Pre-training
NZ_CP030328,Bacteria,Pre-training
NZ_CP030357,Bacteria,Pre-training
NZ_CP030358,Bacteria,Pre-training
NZ_CP030359,Bacteria,Pre-training
NZ_CP030360,Bacteria,Pre-training
NZ_CP030750,Bacteria,Pre-training
NZ_CP030819,Bacteria,Pre-training
NZ_CP030860,Bacteria,Pre-training
NZ_CP030881,Bacteria,Pre-training
NZ_CP030882,Bacteria,Pre-training
NZ_CP030883,Bacteria,Pre-training
NZ_CP030918,Bacteria,Pre-training
NZ_CP030923,Bacteria,Pre-training
NZ_CP030924,Bacteria,Pre-training
NZ_CP030940,Bacteria,Pre-training
NZ_CP031142,Bacteria,Pre-training
NZ_CP031143,Bacteria,Pre-training
NZ_CP031144,Bacteria,Pre-training
NZ_CP031145,Bacteria,Pre-training
NZ_CP031225,Bacteria,Pre-training
NZ_CP031226,Bacteria,Pre-training
NZ_CP031227,Bacteria,Pre-training
NZ_CP031228,Bacteria,Pre-training
NZ_CP031237,Bacteria,Pre-training
NZ_CP031240,Bacteria,Pre-training
NZ_CP031246,Bacteria,Pre-training
NZ_CP031252,Bacteria,Pre-training
NZ_CP031278,Bacteria,Pre-training
NZ_CP031279,Bacteria,Pre-training
NZ_CP031328,Bacteria,Pre-training
NZ_CP031329,Bacteria,Pre-training
NZ_CP031335,Bacteria,Pre-training
NZ_CP031354,Bacteria,Pre-training
NZ_CP031355,Bacteria,Pre-training
NZ_CP031363,Bacteria,Pre-training
NZ_CP031364,Bacteria,Pre-training
NZ_CP031365,Bacteria,Pre-training
NZ_CP031366,Bacteria,Pre-training
NZ_CP031419,Bacteria,Pre-training
NZ_CP031420,Bacteria,Pre-training
NZ_CP031456,Bacteria,Pre-training
NZ_CP031459,Bacteria,Pre-training
NZ_CP031477,Bacteria,Pre-training
NZ_CP031598,Bacteria,Pre-training
NZ_CP031599,Bacteria,Pre-training
NZ_CP031600,Bacteria,Pre-training
NZ_CP031601,Bacteria,Pre-training
NZ_CP031602,Bacteria,Pre-training
NZ_CP031611,Bacteria,Pre-training
NZ_CP031622,Bacteria,Pre-training
NZ_CP031626,Bacteria,Pre-training
NZ_CP031674,Bacteria,Pre-training
NZ_CP031683,Bacteria,Pre-training
NZ_CP031684,Bacteria,Pre-training
NZ_CP031695,Bacteria,Pre-training
NZ_CP031696,Bacteria,Pre-training
NZ_CP031704,Bacteria,Pre-training
NZ_CP031733,Bacteria,Pre-training
NZ_CP031742,Bacteria,Pre-training
NZ_CP031779,Bacteria,Pre-training
NZ_CP031784,Bacteria,Pre-training
NZ_CP031789,Bacteria,Pre-training
NZ_CP031790,Bacteria,Pre-training
NZ_CP031791,Bacteria,Pre-training
NZ_CP031800,Bacteria,Pre-training
NZ_CP031801,Bacteria,Pre-training
NZ_CP031802,Bacteria,Pre-training
NZ_CP031803,Bacteria,Pre-training
NZ_CP031804,Bacteria,Pre-training
NZ_CP031805,Bacteria,Pre-training
NZ_CP031806,Bacteria,Pre-training
NZ_CP031807,Bacteria,Pre-training
NZ_CP031835,Bacteria,Pre-training
NZ_CP031836,Bacteria,Pre-training
NZ_CP031848,Bacteria,Pre-training
NZ_CP031991,Bacteria,Pre-training
NZ_CP031992,Bacteria,Pre-training
NZ_CP031993,Bacteria,Pre-training
NZ_CP031994,Bacteria,Pre-training
NZ_CP031995,Bacteria,Pre-training
NZ_CP031996,Bacteria,Pre-training
NZ_CP031997,Bacteria,Pre-training
NZ_CP032002,Bacteria,Pre-training
NZ_CP032003,Bacteria,Pre-training
NZ_CP032004,Bacteria,Pre-training
NZ_CP032005,Bacteria,Pre-training
NZ_CP032006,Bacteria,Pre-training
NZ_CP032007,Bacteria,Pre-training
NZ_CP032008,Bacteria,Pre-training
NZ_CP032158,Bacteria,Pre-training
NZ_CP032159,Bacteria,Pre-training
NZ_CP032322,Bacteria,Pre-training
NZ_CP032323,Bacteria,Pre-training
NZ_CP032324,Bacteria,Pre-training
NZ_CP032325,Bacteria,Pre-training
NZ_CP032326,Bacteria,Pre-training
NZ_CP032327,Bacteria,Pre-training
NZ_CP032328,Bacteria,Pre-training
NZ_CP032352,Bacteria,Pre-training
NZ_CP032364,Bacteria,Pre-training
NZ_CP032427,Bacteria,Pre-training
NZ_CP032430,Bacteria,Pre-training
NZ_CP032431,Bacteria,Pre-training
NZ_CP032432,Bacteria,Pre-training
NZ_CP032433,Bacteria,Pre-training
NZ_CP032434,Bacteria,Pre-training
NZ_CP032444,Bacteria,Pre-training
NZ_CP032445,Bacteria,Pre-training
NZ_CP032476,Bacteria,Pre-training
NZ_CP032633,Bacteria,Pre-training
NZ_CP032634,Bacteria,Pre-training
NZ_CP032682,Bacteria,Pre-training
NZ_CP032684,Bacteria,Pre-training
NZ_CP032685,Bacteria,Pre-training
NZ_CP032686,Bacteria,Pre-training
NZ_CP032687,Bacteria,Pre-training
NZ_CP032688,Bacteria,Pre-training
NZ_CP032751,Bacteria,Pre-training
NZ_CP032752,Bacteria,Pre-training
NZ_CP032753,Bacteria,Pre-training
NZ_CP032754,Bacteria,Pre-training
NZ_CP032755,Bacteria,Pre-training
NZ_CP032756,Bacteria,Pre-training
NZ_CP032793,Bacteria,Pre-training
NZ_CP032794,Bacteria,Pre-training
NZ_CP032797,Bacteria,Pre-training
NZ_CP032798,Bacteria,Pre-training
NZ_CP032799,Bacteria,Pre-training
NZ_CP032800,Bacteria,Pre-training
NZ_CP032814,Bacteria,Pre-training
NZ_CP032866,Bacteria,Pre-training
NZ_CP033024,Bacteria,Pre-training
NZ_CP033025,Bacteria,Pre-training
NZ_CP033026,Bacteria,Pre-training
NZ_CP033027,Bacteria,Pre-training
NZ_CP033028,Bacteria,Pre-training
NZ_CP033029,Bacteria,Pre-training
NZ_CP033030,Bacteria,Pre-training
NZ_CP033074,Bacteria,Pre-training
NZ_CP033075,Bacteria,Pre-training
NZ_CP033076,Bacteria,Pre-training
NZ_CP033106,Bacteria,Pre-training
NZ_CP033116,Bacteria,Pre-training
NZ_CP033184,Bacteria,Pre-training
NZ_CP033186,Bacteria,Pre-training
NZ_CP033438,Bacteria,Pre-training
NZ_CP033466,Bacteria,Pre-training
NZ_CP033467,Bacteria,Pre-training
NZ_CP033468,Bacteria,Pre-training
NZ_CP033469,Bacteria,Pre-training
NZ_CP033601,Bacteria,Pre-training
NZ_CP033614,Bacteria,Pre-training
NZ_CP033615,Bacteria,Pre-training
NZ_CP033688,Bacteria,Pre-training
NZ_CP033708,Bacteria,Pre-training
NZ_CP033709,Bacteria,Pre-training
NZ_CP033720,Bacteria,Pre-training
NZ_CP033743,Bacteria,Pre-training
NZ_CP033744,Bacteria,Pre-training
NZ_CP033760,Bacteria,Pre-training
NZ_CP033811,Bacteria,Pre-training
NZ_CP033838,Bacteria,Pre-training
NZ_CP033839,Bacteria,Pre-training
NZ_CP033840,Bacteria,Pre-training
NZ_CP033861,Bacteria,Pre-training
NZ_CP033873,Bacteria,Pre-training
NZ_CP033874,Bacteria,Pre-training
NZ_CP033875,Bacteria,Pre-training
NZ_CP033911,Bacteria,Pre-training
NZ_CP034000,Bacteria,Pre-training
NZ_CP034001,Bacteria,Pre-training
NZ_CP034002,Bacteria,Pre-training
NZ_CP034028,Bacteria,Pre-training
NZ_CP034029,Bacteria,Pre-training
NZ_CP034071,Bacteria,Pre-training
NZ_CP034103,Bacteria,Pre-training
NZ_CP034104,Bacteria,Pre-training
NZ_CP034115,Bacteria,Pre-training
NZ_CP034116,Bacteria,Pre-training
NZ_CP034117,Bacteria,Pre-training
NZ_CP034248,Bacteria,Pre-training
NZ_CP034276,Bacteria,Pre-training
NZ_CP034277,Bacteria,Pre-training
NZ_CP034278,Bacteria,Pre-training
NZ_CP034281,Bacteria,Pre-training
NZ_CP034282,Bacteria,Pre-training
NZ_CP034283,Bacteria,Pre-training
NZ_CP034284,Bacteria,Pre-training
NZ_CP034294,Bacteria,Pre-training
NZ_CP034295,Bacteria,Pre-training
NZ_CP034296,Bacteria,Pre-training
NZ_CP034297,Bacteria,Pre-training
NZ_CP034305,Bacteria,Pre-training
NZ_CP034306,Bacteria,Pre-training
NZ_CP034307,Bacteria,Pre-training
NZ_CP034308,Bacteria,Pre-training
NZ_CP034358,Bacteria,Pre-training
NZ_CP034396,Bacteria,Pre-training
NZ_CP034397,Bacteria,Pre-training
NZ_CP034398,Bacteria,Pre-training
NZ_CP034399,Bacteria,Pre-training
NZ_CP034400,Bacteria,Pre-training
NZ_CP034411,Bacteria,Pre-training
NZ_CP034431,Bacteria,Pre-training
NZ_CP034432,Bacteria,Pre-training
NZ_CP034481,Bacteria,Pre-training
NZ_CP034541,Bacteria,Pre-training
NZ_CP034542,Bacteria,Pre-training
NZ_CP034565,Bacteria,Pre-training
NZ_CP034566,Bacteria,Pre-training
NZ_CP034567,Bacteria,Pre-training
NZ_CP034568,Bacteria,Pre-training
NZ_CP034649,Bacteria,Pre-training
NZ_CP034650,Bacteria,Pre-training
NZ_CP034651,Bacteria,Pre-training
NZ_CP034652,Bacteria,Pre-training
NZ_CP034655,Bacteria,Pre-training
NZ_CP034656,Bacteria,Pre-training
NZ_CP034662,Bacteria,Pre-training
NZ_CP034667,Bacteria,Pre-training
NZ_CP034668,Bacteria,Pre-training
NZ_CP034697,Bacteria,Pre-training
NZ_CP034819,Bacteria,Pre-training
NZ_CP034820,Bacteria,Pre-training
NZ_CP034821,Bacteria,Pre-training
NZ_CP034822,Bacteria,Pre-training
NZ_CP034823,Bacteria,Pre-training
NZ_CP034824,Bacteria,Pre-training
NZ_CP034825,Bacteria,Pre-training
NZ_CP034826,Bacteria,Pre-training
NZ_CP034827,Bacteria,Pre-training
NZ_CP034828,Bacteria,Pre-training
NZ_CP034829,Bacteria,Pre-training
NZ_CP034830,Bacteria,Pre-training
NZ_CP034836,Bacteria,Pre-training
NZ_CP034839,Bacteria,Pre-training
NZ_CP034938,Bacteria,Pre-training
NZ_CP034939,Bacteria,Pre-training
NZ_CP034953,Bacteria,Pre-training
NZ_CP035021,Bacteria,Pre-training
NZ_CP035022,Bacteria,Pre-training
NZ_CP035023,Bacteria,Pre-training
NZ_CP035024,Bacteria,Pre-training
NZ_CP035025,Bacteria,Pre-training
NZ_CP035026,Bacteria,Pre-training
NZ_CP035113,Bacteria,Pre-training
NZ_CP035114,Bacteria,Pre-training
NZ_CP035115,Bacteria,Pre-training
NZ_CP035116,Bacteria,Pre-training
NZ_CP035117,Bacteria,Pre-training
NZ_CP035118,Bacteria,Pre-training
NZ_CP035136,Bacteria,Pre-training
NZ_CP035137,Bacteria,Pre-training
NZ_CP035138,Bacteria,Pre-training
NZ_CP035152,Bacteria,Pre-training
NZ_CP035153,Bacteria,Pre-training
NZ_CP035165,Bacteria,Pre-training
NZ_CP035168,Bacteria,Pre-training
NZ_CP035169,Bacteria,Pre-training
NZ_CP035170,Bacteria,Pre-training
NZ_CP035171,Bacteria,Pre-training
NZ_CP035172,Bacteria,Pre-training
NZ_CP035173,Bacteria,Pre-training
NZ_CP035185,Bacteria,Pre-training
NZ_CP035214,Bacteria,Pre-training
NZ_CP035215,Bacteria,Pre-training
NZ_CP035216,Bacteria,Pre-training
NZ_CP035217,Bacteria,Pre-training
NZ_CP035218,Bacteria,Pre-training
NZ_CP035219,Bacteria,Pre-training
NZ_CP035282,Bacteria,Pre-training
NZ_CP035283,Bacteria,Pre-training
NZ_CP035288,Bacteria,Pre-training
NZ_CP035289,Bacteria,Pre-training
NZ_CP035290,Bacteria,Pre-training
NZ_CP035299,Bacteria,Pre-training
NZ_CP035300,Bacteria,Pre-training
NZ_CP035369,Bacteria,Pre-training
NZ_CP035370,Bacteria,Pre-training
NZ_CP035431,Bacteria,Pre-training
NZ_CP035445,Bacteria,Pre-training
NZ_CP035451,Bacteria,Pre-training
NZ_CP035544,Bacteria,Pre-training
NZ_CP035680,Bacteria,Pre-training
NZ_CP035681,Bacteria,Pre-training
NZ_CP035682,Bacteria,Pre-training
NZ_CP035683,Bacteria,Pre-training
NZ_CP035694,Bacteria,Pre-training
NZ_CP035695,Bacteria,Pre-training
